precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
121680.0,0.0,6.9,1.0,"[121680.0,0.0,6.9,1.0]","[0.6632596123003147,0.0,2.605486390218071,4.678687769727618]",0
51300.0,0.0,8.1,1.0,"[51300.0,0.0,8.1,1.0]","[0.2796286827005765,0.0,3.058614458082083,4.678687769727618]",0
36900.0,0.0,8.2,1.0,"[36900.0,0.0,8.2,1.0]","[0.20113642088988837,0.0,3.096375130404084,4.678687769727618]",0
65437.0,0.0,9.1,1.0,"[65437.0,0.0,9.1,1.0]","[0.35668737056291666,0.0,3.436221181302093,4.678687769727618]",0
112000.0,0.0,9.5,1.0,"[112000.0,0.0,9.5,1.0]","[0.6104953696386856,0.0,3.5872638705900974,4.678687769727618]",0
30000.0,0.0,7.4,1.0,"[30000.0,0.0,7.4,1.0]","[0.16352554543893363,0.0,2.7942897518280763,4.678687769727618]",0
161708.0,0.0,8.9,1.0,"[161708.0,0.0,8.9,1.0]","[0.8814462967279693,0.0,3.3606998366580916,4.678687769727618]",0
52000.0,0.0,9.0,1.0,"[52000.0,0.0,9.0,1.0]","[0.2834442787608183,0.0,3.3984605089800923,4.678687769727618]",0
110913.0,0.0,8.7,1.0,"[110913.0,0.0,8.7,1.0]","[0.6045702940422815,0.0,3.285178492014089,4.678687769727618]",0
40398.0,0.0,8.2,1.0,"[40398.0,0.0,8.2,1.0]","[0.22020349948806803,0.0,3.096375130404084,4.678687769727618]",0
1130500.0,0.0,1.0,1.0,"[1130500.0,0.0,1.0,1.0]","[6.162187637290482,0.0,0.37760672322001027,4.678687769727618]",0
358802.0,4.0,8.0,1.0,"[358802.0,4.0,8.0,1.0]","[1.9557764251526755,2.1376484723156848,3.020853785760082,4.678687769727618]",1
246966.0,4.0,8.8,1.0,"[246966.0,4.0,8.8,1.0]","[1.3461749951623894,2.1376484723156848,3.322939164336091,4.678687769727618]",1
106358.0,0.0,8.4,1.0,"[106358.0,0.0,8.4,1.0]","[0.5797416653931368,0.0,3.1718964750480865,4.678687769727618]",0
162240.0,0.0,8.7,1.0,"[162240.0,0.0,8.7,1.0]","[0.884346149733753,0.0,3.285178492014089,4.678687769727618]",0
225654.0,0.0,9.5,1.0,"[225654.0,0.0,9.5,1.0]","[1.230006447682571,0.0,3.5872638705900974,4.678687769727618]",0
193418.0,3.0,7.9,1.0,"[193418.0,3.0,7.9,1.0]","[1.0542927982569221,1.6032363542367636,2.9830931134380814,4.678687769727618]",1
203089.0,0.0,8.6,1.0,"[203089.0,0.0,8.6,1.0]","[1.1070079832549198,0.0,3.247417819692088,4.678687769727618]",0
109963.0,4.0,8.7,1.0,"[109963.0,4.0,8.7,1.0]","[0.5993919851033819,2.1376484723156848,3.285178492014089,4.678687769727618]",1
202260.0,0.0,8.8,1.0,"[202260.0,0.0,8.8,1.0]","[1.1024892273492906,0.0,3.322939164336091,4.678687769727618]",0
144952.0,0.0,8.4,1.0,"[144952.0,0.0,8.4,1.0]","[0.7901118287488103,0.0,3.1718964750480865,4.678687769727618]",0
